<h1>WSG Sections and Guidelines and Success criteria</h1>
Title,Link,Impact,Effort,Description,Status,Notes
"2. User-Experience Design",https://w3c.github.io/sustyweb/#x2-user-experience-design
"2.1 Undertake Systemic Impacts Mapping",https://w3c.github.io/sustyweb/#x2-1-undertake-systemic-impacts-mapping,Medium,Medium
"Success Criterion - External Variables",https://w3c.github.io/sustyweb/#success-criterion-external-variables,,,"List the negative external variables and identify where your product's sustainable impact can be diminished (systemic design)."
"2.2 Assess and Research Visitor Needs",https://w3c.github.io/sustyweb/#x2-2-assess-and-research-visitor-needs,Medium,High
"Success Criterion - Identify And Define",https://w3c.github.io/sustyweb/#success-criterion-identify-and-define,,,"Primary and secondary target visitors are identified, and their needs are defined through quantitative or qualitative research, testing, or analytics, ensuring your visitors and affected communities remain a close part of the research and testing process."
"Success Criterion - Visitor Constraints",https://w3c.github.io/sustyweb/#success-criterion-visitor-constraints,,,"Potential visitor constraints like the device age, operating system version, browser, and connection speeds are considered when designing user-experiences."
"Success Criterion - Barriers And Access",https://w3c.github.io/sustyweb/#success-criterion-barriers-and-access,,,"The team has researched and identified whether a technical, material, or human constraint might require an adapted version of the product or service that reduces barriers or improves access to content."
"Success Criterion - Barrier Removal",https://w3c.github.io/sustyweb/#success-criterion-barrier-removal,,,"In the user-research, identify with your visitors if some barriers should be removed (pain points or dark / deceptive design patterns)."
"Success Criterion - Seat At The Table",https://w3c.github.io/sustyweb/#success-criterion-seat-at-the-table,,,"When undertaking research, identifying needs, or conducting iterative design work, ensure that all stakeholders including your visitors have an equitable role in the decision-making process."
"2.3 Research Non-Visitor's Needs",https://w3c.github.io/sustyweb/#x2-3-research-non-visitor-s-needs,Medium,Medium
"Success Criterion - Non-Human Impact",https://w3c.github.io/sustyweb/#success-criterion-non-human-impact,,,"Consider and work with non-users and other stakeholders who might be passively impacted by a digital product or service, such as neighbors accepting parcels, traffic jams due to deliveries, etc. Research their needs and understand how they might be affected."
"2.4 Consider Sustainability in Early Ideation",https://w3c.github.io/sustyweb/#x2-4-consider-sustainability-in-early-ideation,Low,Low
"Success Criterion - Wireframes And Prototypes",https://w3c.github.io/sustyweb/#success-criterion-wireframes-and-prototypes,,,"Utilize wireframes, and rapid prototyping to quickly build consensus, reduce risk, and lower the number of resources needed to build features."
"Success Criterion - Participation And Testing",https://w3c.github.io/sustyweb/#success-criterion-participation-and-testing,,,"Involve your users within the iteration and design process using participatory design, and when conducting user-testing reach out to your community to help improve your product by allowing them to apply their knowledge and experience to your product or service."
"2.5 Account for Stakeholder Issues",https://w3c.github.io/sustyweb/#x2-5-account-for-stakeholder-issues,Medium,Medium
"Success Criterion - Human-Centered Brainstorming",https://w3c.github.io/sustyweb/#success-criterion-human-centered-brainstorming,,,"In the brainstorming process, consider all stakeholders using a human-centered approach."
"Success Criterion - Ecological Brainstorming",https://w3c.github.io/sustyweb/#success-criterion-ecological-brainstorming,,,"In the brainstorming process, take the planetary needs and ecological boundaries into account."
"2.6 Create a Frictionless Lightweight Experience by Default",https://w3c.github.io/sustyweb/#x2-6-create-a-frictionless-lightweight-experience-by-default,Medium,Medium
"Success Criterion - Performance By Default",https://w3c.github.io/sustyweb/#success-criterion-performance-by-default,,,"Prioritize performance optimization as a product or service's default approach."
"Success Criterion - Efficient Paths",https://w3c.github.io/sustyweb/#success-criterion-efficient-paths,,,"The path taken to access the service (the initial contact with the website or service) should be as efficient and as simple as possible (time required to complete an action displayed, reducing too much choice, ensuring visitors know what's required at the start of a complex set of steps, etc)."
